,Owner ID,Owner Name,Reg Owner IMO No,Owner Country,Owner Country Name,City Name,Address line 1,Address line 2,Owner Postcode,Code,Who,Comment
99,33407,MOON STAR SHIPPING CO LTD,5699237,508,Turkey,Istanbul,Care of Mora Denizcilik Ticaret Ltd Sti (Mora Shipping),"Daire 81, Kat 22, Blok D, DAP Royal Center, Cam Sokak 16, Altaycesme Mah, Maltepe",34843,j,Batch 10,
100,76220,NAJJARDAYA MARITIME SA,5957640,557,Honduras,Tegucigalpa,,,,j,Batch 10,
101,45710,NGOC PHAT TRANSPORT SERV JSC,5641901,643,Vietnam,Thai Binh,"94, 39B Road","Thuy Ha, Thai Thuy District",,j,Batch 10,
102,81264,NYK ARGUS CORP,5907064,604,Japan,Tokyo,Care of Nippon Yusen KK (NYK Line) (Nippon Yusen Kaisha),"Yusen Building, 3-2, Marunouchi 2-chome, Chiyoda-ku",100-0005,j,Batch 10,
103,89046,OFFSHORE VESSEL 2 THAILAND LTD,6010051,629,Thailand,Songkhla,Care of Vroon Offshore Services (Thailand) Ltd ,"10, Sadao Road, Bo Yang, Amphoe Muang",90000,j,Batch 10,
104,19402,GENERAL ORE CARRIER CORP XIX,5329521,604,Germany,Hamburg,Care of Neu Seeschiffahrt GmbH ,Alsterufer 12,20354,j,Batch 10,
105,45103,GREAT COAST SHIPPING CO LTD,5560671,533,Cyprus,Limassol,Care of Mastermind Shipmanagement Ltd ,"MSM House, 63, Christaki Kranou Street",4042,j,Batch 10,
106,107664,HAI KUO SHIPPING 2020B LTD,6177825,556,Greece,Athens,Care of Starbulk SA ,"40, Agiou Konstantinou Street, Marousi",151 24,j,Batch 10,
107,105614,HEIDE MARITIME LTD,6158216,589,Greece,Athens,Care of Empire Bulkers Ltd ,"88, Vouliagmenis Avenue, Elliniko",167 77,j,Batch 10,
108,20173,HONG OCEAN SHIPPING CO LTD,5364370,640,China,Ningbo,Care of Hongyuan Shipping Co Ltd ,"Room 905, Huahong Building, 717, Zhongxing Lu, Jiangdong Qu,  Zhejiang",315040,j,Batch 10,
